                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76131,                 3.0767,                 1.4623,                0.26974,                0.53205,                0.31175,                0.19009,                 1.0616,                 3.0584,                 1.9949,               0.070119,              0.0033201,              0.0033201
                      1,                0.72258,                  2.153,                 1.4118,                0.21475,                0.31961,                0.23788,                0.13804,                 1.2295,                 2.7085,                 2.1511,               0.040053,              0.0065876,              0.0065876
                      2,                0.72102,                 1.9429,                 1.3977,                0.25117,                0.48466,                0.37034,                0.21827,                 1.2458,                 2.3823,                 2.0191,              0.0099213,               0.009789,               0.009789
                      3,                 0.7732,                   1.87,                 1.4423,                0.29975,                0.61438,                0.38173,                0.25248,                 1.0428,                 2.2381,                 1.9873,               0.009703,               0.009703,               0.009703
                      4,                0.75394,                 1.7351,                 1.4047,                0.35267,                 0.6522,                0.47761,                0.32853,                 1.0347,                 1.7504,                 1.8493,               0.009703,               0.009703,               0.009703
                      5,                0.74698,                 1.6259,                   1.41,                0.43881,                0.64059,                0.54566,                0.41352,                0.79261,                 1.5184,                 1.5416,               0.009604,               0.009604,               0.009604
                      6,                0.71224,                 1.4615,                 1.3543,                0.40661,                0.61132,                0.54289,                0.38605,                0.96826,                 1.6409,                 1.8072,               0.009505,               0.009505,               0.009505
                      7,                0.69817,                 1.4382,                 1.3474,                0.47827,                0.62503,                0.59622,                0.46325,                0.72405,                 1.5166,                 1.5019,               0.009406,               0.009406,               0.009406
                      8,                 0.6795,                 1.3579,                 1.3245,                0.53673,                0.65003,                 0.6708,                0.54711,                0.67662,                 1.2103,                 1.4788,               0.009307,               0.009307,               0.009307
                      9,                0.65556,                 1.3141,                 1.3197,                0.50968,                0.60496,                0.59298,                0.47665,                0.70302,                 1.3964,                 1.5011,               0.009208,               0.009208,               0.009208
                     10,                0.66704,                 1.3112,                 1.3275,                  0.484,                 0.6894,                 0.6189,                0.48114,                0.81381,                 1.3141,                 1.6626,               0.009109,               0.009109,               0.009109
                     11,                0.62374,                 1.2375,                 1.2864,                0.56201,                0.64497,                 0.5923,                0.42697,                0.97434,                 1.4086,                 1.7897,                0.00901,                0.00901,                0.00901
                     12,                0.61028,                 1.1848,                 1.2747,                0.61797,                0.74885,                 0.7447,                0.62696,                0.60861,                 1.0647,                 1.3459,               0.008911,               0.008911,               0.008911
                     13,                0.61543,                 1.1463,                 1.2719,                0.59381,                0.68093,                0.68229,                0.55941,                0.61566,                 1.2376,                 1.3874,               0.008812,               0.008812,               0.008812
                     14,                 0.5905,                 1.1225,                 1.2606,                0.53751,                0.72297,                0.66078,                0.55585,                0.58922,                 1.2766,                 1.3678,               0.008713,               0.008713,               0.008713
                     15,                0.59556,                  1.122,                 1.2554,                 0.6638,                 0.6675,                0.73937,                0.61925,                0.59359,                 1.0523,                 1.3341,               0.008614,               0.008614,               0.008614
